Fecha;PM2.5(µg/m³);SO2(µg/m³);NO(µg/m³);NO2(µg/m³);PM10(µg/m³);Ni(ng/m³);NOx(µg/m³);Ozono(µg/m³);As(ng/m³);Pb(µg/m³);Cd(ng/m³)
11.11.2014;14;4;34;48;23;0,83;99;8;0,42;0;0,11
12.11.2014;11;4;6;37;20;;45;21;;;
13.11.2014;13;3;10;33;19;0,97;48;23;0,14;0;0,15
14.11.2014;11;4;24;37;20;;73;19;;;
15.11.2014;8;3;2;11;13;0,55;14;56;0;0;0,01
16.11.2014;5;4;3;8;10;;11;54;;;
17.11.2014;10;3;7;27;15;0,55;37;35;0,14;0;0,04
18.11.2014;15;4;15;47;25;;70;18;;;
19.11.2014;16;4;19;39;27;;68;17;;;
20.11.2014;20;4;13;34;31;1,95;52;26;0,42;0;0,17
21.11.2014;19;4;22;42;;;74;19;;;
22.11.2014;23;3;11;29;37;;44;16;;;
23.11.2014;19;3;8;23;;;35;17;;;
24.11.2014;17;4;12;32;45;;49;15;;;
25.11.2014;21;3;17;41;58;;67;10;;;
26.11.2014;13;3;24;41;;;77;21;;;
27.11.2014;12;3;13;38;27;;57;15;;;
28.11.2014;10;5;11;34;29;;50;24;;;
29.11.2014;6;3;2;20;;;22;41;;;
30.11.2014;16;3;10;25;52;;40;28;;;
01.12.2014;12;3;17;21;29;1,51;47;29;0,28;0;0,06
02.12.2014;8;3;9;31;16;;44;23;;;
03.12.2014;9;4;12;34;18;;52;14;;;
04.12.2014;16;5;37;42;28;1,53;98;4;0,42;0;0,15
05.12.2014;;5;13;34;;;53;18;;;
06.12.2014;;4;5;20;;;27;42;;;
07.12.2014;;4;3;22;;;25;57;;;
08.12.2014;;4;14;36;;;57;32;;;
09.12.2014;;3;3;21;;;25;58;;;
10.12.2014;;5;54;64;;;146;19;;;
11.12.2014;;6;57;65;;;151;11;;;
12.12.2014;;5;32;55;;;104;12;;;
13.12.2014;;4;8;49;;;61;23;;;
14.12.2014;;4;7;28;;;38;25;;;
15.12.2014;;4;13;33;;;52;32;;;
16.12.2014;;4;16;38;;;62;21;;;
17.12.2014;13;3;35;54;30;;108;20;;;
18.12.2014;17;4;57;55;;;142;6;;;
19.12.2014;22;5;59;45;;;136;4;;;
20.12.2014;26;4;43;42;34;;107;6;;;
21.12.2014;15;4;28;43;20;;85;11;;;
22.12.2014;22;5;38;48;;;105;8;;;
23.12.2014;22;4;47;53;31;;124;7;;;
24.12.2014;19;4;15;39;;;60;11;;;
25.12.2014;20;3;21;35;26;;66;17;;;
26.12.2014;14;4;32;35;;;83;14;;;
27.12.2014;13;4;4;15;;;21;22;;;
28.12.2014;10;4;2;5;;;7;53;;;
29.12.2014;9;3;6;18;;;26;37;;;
30.12.2014;17;4;31;40;;;86;15;;;
31.12.2014;18;5;20;35;26;;65;9;;;
01.01.2015;19;4;7;25;29;1,7;35;21;0,28;0;0,1
02.01.2015;22;4;30;40;31;2,26;85;11;0,28;0;0,14
03.01.2015;22;4;26;39;31;;77;8;;;
04.01.2015;19;5;10;27;26;8,43;42;17;0,28;0;0,1
05.01.2015;22;5;16;30;29;;54;12;;;
06.01.2015;30;3;7;21;34;;31;18;;;
07.01.2015;30;5;23;32;35;2,26;66;9;0,28;0;0,1
08.01.2015;34;4;26;34;38;;73;8;;;
09.01.2015;;5;44;44;;;111;7;;;
10.01.2015;25;5;45;42;36;0;111;8;0,42;0,01;0,17
11.01.2015;21;5;26;28;26;;68;18;;;
12.01.2015;25;5;21;32;37;0;64;11;0,42;0,01;0,08
13.01.2015;38;5;23;32;47;;67;11;;;
14.01.2015;26;4;12;31;34;;49;15;;;
15.01.2015;37;7;33;37;42;0;87;13;0,56;0,01;0,22
16.01.2015;29;4;7;20;32;;29;38;;;
17.01.2015;13;5;5;20;19;0;26;37;0,14;0;0,03
18.01.2015;13;4;3;20;21;;23;34;;;
19.01.2015;;4;9;23;13;;36;17;;;
20.01.2015;16;4;23;35;24;0,7;69;16;0,28;0;0,08
21.01.2015;18;4;12;23;20;;40;25;;;
22.01.2015;7;4;4;20;11;0;24;38;0,14;0;0,03
23.01.2015;8;4;3;15;12;;18;52;;;
24.01.2015;12;4;5;20;15;0,28;27;39;0,14;0;0,03
25.01.2015;13;5;10;22;18;;36;51;;;
26.01.2015;23;4;21;40;29;1,83;71;18;0,28;0,01;0,18
27.01.2015;19;3;13;24;22;;43;31;;;
28.01.2015;16;4;11;32;19;;48;27;;;
29.01.2015;;4;6;21;38;1,25;29;30;0,69;0,01;0,07
30.01.2015;;4;2;7;70;1,78;10;49;0,55;0,02;0,03
31.01.2015;5;4;2;10;5;;11;57;;;
01.02.2015;6;4;2;8;7;;10;62;;;
02.02.2015;12;3;3;16;15;0,7;20;38;0,28;0;0,03
03.02.2015;10;3;2;14;14;;16;52;;;
04.02.2015;9;4;2;12;13;;13;60;;;
05.02.2015;24;3;2;10;26;;12;60;;;
06.02.2015;13;4;6;20;16;;28;48;;;
07.02.2015;19;4;11;28;22;0,42;44;16;0,28;0;0,07
08.02.2015;12;3;3;17;16;;21;36;;;
09.02.2015;20;4;15;24;32;1,13;46;39;0,42;0;0,1
10.02.2015;14;4;11;22;26;;38;50;;;
11.02.2015;14;4;2;19;30;;20;48;;;
12.02.2015;17;5;13;32;;;51;25;;;
13.02.2015;22;4;15;34;31;;57;17;;;
14.02.2015;12;4;4;17;;;21;45;;;
15.02.2015;7;3;4;16;9;;21;41;;;
16.02.2015;13;4;14;24;;;45;35;;;
17.02.2015;9;4;2;16;;;16;42;;;
18.02.2015;13;4;9;20;;;32;42;;;
19.02.2015;21;5;13;25;;;43;46;;;
20.02.2015;28;4;6;27;29;;36;42;;;
21.02.2015;19;4;2;13;;;14;54;;;
22.02.2015;14;3;2;14;18;;16;66;;;
23.02.2015;22;4;4;20;;;24;32;;;
24.02.2015;;4;2;11;19;;14;63;;;
25.02.2015;17;5;2;13;18;;15;62;;;
26.02.2015;;5;4;17;;;21;48;;;
27.02.2015;;5;3;10;;;12;65;;;
28.02.2015;;4;4;24;29;;29;49;;;
01.03.2015;13;4;3;17;15;;21;37;;;
02.03.2015;20;3;4;20;21;0,97;25;28;0,42;0;0,07
03.03.2015;11;4;3;18;22;;21;38;;;
04.03.2015;40;3;3;15;47;2,66;19;46;0,42;0;0,07
05.03.2015;;4;6;27;;;35;51;;;
