station_id;date;hour;avg_available;avg_free;med_available;med_free;src_count
1;2012-01-24;0;3;24;3;24;60
1;2012-01-24;1;3;24;3;24;57
1;2012-01-24;2;3;24;3;24;60
1;2012-01-24;3;3;24;3;24;60
1;2012-01-24;4;3;24;3;24;60
1;2012-01-24;5;3;24;3;24;60
1;2012-01-24;6;3;24;3;24;60
1;2012-01-24;7;3;24;3;24;60
1;2012-01-24;8;2;25;2;25;60
1;2012-01-24;9;3;24;3;24;60
1;2012-01-24;10;4;23;3;24;60
1;2012-01-24;11;2;25;2;25;60
1;2012-01-24;12;1;27;0;27;60
1;2012-01-24;13;2;25;2;26;60
1;2012-01-24;14;1;26;0;27;60
